ID,name,article_ID
55849071700,Koch D.P.,27
55849071700,Koch D.P.,465
57190404271,Wheeler D.O.,27
57190404271,Wheeler D.O.,254
57190404271,Wheeler D.O.,465
35562442700,Beard R.W.,27
35562442700,Beard R.W.,31
35562442700,Beard R.W.,35
35562442700,Beard R.W.,190
35562442700,Beard R.W.,192
35562442700,Beard R.W.,341
35562442700,Beard R.W.,346
35562442700,Beard R.W.,368
35562442700,Beard R.W.,451
35562442700,Beard R.W.,459
35562442700,Beard R.W.,460
35562442700,Beard R.W.,462
35562442700,Beard R.W.,465
35562442700,Beard R.W.,646
35562442700,Beard R.W.,711
35562442700,Beard R.W.,775
35562442700,Beard R.W.,788
35562442700,Beard R.W.,821
35562442700,Beard R.W.,831
7006542177,McLain T.W.,27
7006542177,McLain T.W.,40
7006542177,McLain T.W.,122
7006542177,McLain T.W.,191
7006542177,McLain T.W.,213
7006542177,McLain T.W.,215
7006542177,McLain T.W.,216
7006542177,McLain T.W.,254
7006542177,McLain T.W.,465
7006542177,McLain T.W.,494
7006542177,McLain T.W.,646
7006542177,McLain T.W.,657
7006542177,McLain T.W.,782
7006542177,McLain T.W.,831
36668159600,Brink K.M.,27
36668159600,Brink K.M.,40
36668159600,Brink K.M.,122
36668159600,Brink K.M.,254
36668159600,Brink K.M.,494
57200206301,Amini E.,28
57200206301,Amini E.,796
57200206301,Amini E.,803
57200206301,Amini E.,804
57200206301,Amini E.,806
57190131647,Babaei A.,28
35612908400,Mehrnia M.R.,28
8208300700,Shayegan J.,28
57192643299,Safdari M.-S.,28
57192643299,Safdari M.-S.,796
57192643299,Safdari M.-S.,803
57192643299,Safdari M.-S.,804
57192643299,Safdari M.-S.,806
57215136260,Weaver B.P.,29
56442655200,Kaufeld K.,29
55827824100,Warr R.,29
55827824100,Warr R.,275
57197773578,Pack A.T.,30
57197773578,Pack A.T.,358
57197773578,Pack A.T.,812
57204761536,Phipps E.R.,30
7004300863,Mattson C.A.,30
7004300863,Mattson C.A.,47
7004300863,Mattson C.A.,60
7004300863,Mattson C.A.,194
7004300863,Mattson C.A.,262
7004300863,Mattson C.A.,285
7004300863,Mattson C.A.,297
7004300863,Mattson C.A.,317
7004300863,Mattson C.A.,320
7004300863,Mattson C.A.,323
7004300863,Mattson C.A.,325
7004300863,Mattson C.A.,353
7004300863,Mattson C.A.,354
7004300863,Mattson C.A.,358
7004300863,Mattson C.A.,522
7004300863,Mattson C.A.,581
7004300863,Mattson C.A.,684
7004300863,Mattson C.A.,737
7004300863,Mattson C.A.,812
7004300863,Mattson C.A.,813
7004300863,Mattson C.A.,867
8421746800,Dahlin E.C.,30
8421746800,Dahlin E.C.,47
8421746800,Dahlin E.C.,60
8421746800,Dahlin E.C.,323
8421746800,Dahlin E.C.,813
57203660684,White J.H.,31
57203660684,White J.H.,462
57218095797,Clark R.,32
57218102993,Dickinson T.,32
57218105310,Loaiza J.,32
57197795830,Geiger D.W.,32
57197795830,Geiger D.W.,702
14033673100,Charles S.K.,32
14033673100,Charles S.K.,183
14033673100,Charles S.K.,212
14033673100,Charles S.K.,307
14033673100,Charles S.K.,702
14033673100,Charles S.K.,755
57205285411,Rose M.T.,33
57205288709,Pielstick B.D.,33
57205293533,Jones Z.T.,33
6701746882,Sommerfeldt S.D.,33
6701746882,Sommerfeldt S.D.,139
6701746882,Sommerfeldt S.D.,668
10141271600,Gee K.L.,33
10141271600,Gee K.L.,118
10141271600,Gee K.L.,369
10141271600,Gee K.L.,372
10141271600,Gee K.L.,373
10141271600,Gee K.L.,619
10141271600,Gee K.L.,620
10141271600,Gee K.L.,621
10141271600,Gee K.L.,622
10141271600,Gee K.L.,635
10141271600,Gee K.L.,854
10141271600,Gee K.L.,855
10141271600,Gee K.L.,856
10141271600,Gee K.L.,857
10141271600,Gee K.L.,858
7202277096,Thomson S.L.,33
6701720294,Magleby S.P.,34
6701720294,Magleby S.P.,95
6701720294,Magleby S.P.,105
6701720294,Magleby S.P.,107
6701720294,Magleby S.P.,116
6701720294,Magleby S.P.,137
6701720294,Magleby S.P.,154
6701720294,Magleby S.P.,246
6701720294,Magleby S.P.,283
6701720294,Magleby S.P.,314
6701720294,Magleby S.P.,315
6701720294,Magleby S.P.,316
6701720294,Magleby S.P.,318
6701720294,Magleby S.P.,319
6701720294,Magleby S.P.,320
6701720294,Magleby S.P.,321
6701720294,Magleby S.P.,380
6701720294,Magleby S.P.,382
6701720294,Magleby S.P.,411
6701720294,Magleby S.P.,453
6701720294,Magleby S.P.,454
6701720294,Magleby S.P.,455
6701720294,Magleby S.P.,456
6701720294,Magleby S.P.,483
6701720294,Magleby S.P.,500
6701720294,Magleby S.P.,578
6701720294,Magleby S.P.,579
6701720294,Magleby S.P.,580
6701720294,Magleby S.P.,594
6701720294,Magleby S.P.,595
6701720294,Magleby S.P.,596
6701720294,Magleby S.P.,694
6701720294,Magleby S.P.,756
6701720294,Magleby S.P.,809
6701720294,Magleby S.P.,810
6701720294,Magleby S.P.,846
6701720294,Magleby S.P.,847
6701720294,Magleby S.P.,848
6701720294,Magleby S.P.,849
6701720294,Magleby S.P.,873
57211516485,Howell L.L.,34
57211516485,Howell L.L.,76
57211516485,Howell L.L.,95
57211516485,Howell L.L.,106
57211516485,Howell L.L.,116
57211516485,Howell L.L.,125
57211516485,Howell L.L.,137
57211516485,Howell L.L.,154
57211516485,Howell L.L.,163
57211516485,Howell L.L.,201
57211516485,Howell L.L.,246
57211516485,Howell L.L.,283
57211516485,Howell L.L.,314
57211516485,Howell L.L.,315
57211516485,Howell L.L.,316
57211516485,Howell L.L.,318
57211516485,Howell L.L.,321
57211516485,Howell L.L.,379
57211516485,Howell L.L.,380
57211516485,Howell L.L.,382
57211516485,Howell L.L.,389
57211516485,Howell L.L.,408
57211516485,Howell L.L.,411
57211516485,Howell L.L.,412
57211516485,Howell L.L.,442
57211516485,Howell L.L.,445
57211516485,Howell L.L.,453
57211516485,Howell L.L.,454
57211516485,Howell L.L.,455
57211516485,Howell L.L.,456
57211516485,Howell L.L.,478
57211516485,Howell L.L.,483
57211516485,Howell L.L.,500
57211516485,Howell L.L.,521
57211516485,Howell L.L.,577
57211516485,Howell L.L.,578
57211516485,Howell L.L.,580
57211516485,Howell L.L.,594
57211516485,Howell L.L.,595
57211516485,Howell L.L.,596
57211516485,Howell L.L.,694
57211516485,Howell L.L.,756
57211516485,Howell L.L.,809
57211516485,Howell L.L.,811
57211516485,Howell L.L.,846
57211516485,Howell L.L.,847
57211516485,Howell L.L.,848
57211516485,Howell L.L.,849
57211516485,Howell L.L.,873
57200077532,Willis J.,35
57200077532,Willis J.,211
57200077532,Willis J.,573
55613237293,Johnson J.,35
57208246750,Libano F.,36
57208246750,Libano F.,385
57206834042,Wilson B.,36
57206834042,Wilson B.,385
7003292762,Wirthlin M.,36
7003292762,Wirthlin M.,62
7003292762,Wirthlin M.,101
7003292762,Wirthlin M.,113
7003292762,Wirthlin M.,114
7003292762,Wirthlin M.,124
7003292762,Wirthlin M.,195
7003292762,Wirthlin M.,196
7003292762,Wirthlin M.,267
7003292762,Wirthlin M.,362
7003292762,Wirthlin M.,384
7003292762,Wirthlin M.,385
7003292762,Wirthlin M.,403
7003292762,Wirthlin M.,404
7003292762,Wirthlin M.,584
7003292762,Wirthlin M.,685
7003292762,Wirthlin M.,715
7003292762,Wirthlin M.,716
7003292762,Wirthlin M.,817
7003292762,Wirthlin M.,818
19638969800,Rech P.,36
19638969800,Rech P.,385
55301279200,Brunhaver J.,36
7402258065,Lawson J.,38
7402258065,Lawson J.,189
36987999600,Afran M.S.,39
36987999600,Afran M.S.,86
36987999600,Afran M.S.,160
36987999600,Afran M.S.,615
36987999600,Afran M.S.,842
36987999600,Afran M.S.,877
7003868048,Saquib M.,39
7003868048,Saquib M.,86
7003868048,Saquib M.,160
7003868048,Saquib M.,615
7003868048,Saquib M.,842
7003868048,Saquib M.,877
57190402922,Ellingson G.,40
57190402922,Ellingson G.,122
57190402922,Ellingson G.,213
57190402922,Ellingson G.,494
57190402922,Ellingson G.,657
9535406000,Sansom R.L.,41
56703308500,Bodily R.,41
56703308500,Bodily R.,683
57216531463,Bates C.O.,41
23050937200,Leary H.,41
57199050938,Small K.A.,42
57211158470,Clayburn Z.,42
57195286623,DeMott R.,42
35790633100,Primig S.,42
12142543700,Fullwood D.,42
12142543700,Fullwood D.,74
12142543700,Fullwood D.,81
12142543700,Fullwood D.,89
12142543700,Fullwood D.,96
12142543700,Fullwood D.,141
12142543700,Fullwood D.,199
12142543700,Fullwood D.,208
12142543700,Fullwood D.,227
12142543700,Fullwood D.,444
12142543700,Fullwood D.,454
12142543700,Fullwood D.,492
12142543700,Fullwood D.,502
12142543700,Fullwood D.,514
12142543700,Fullwood D.,543
12142543700,Fullwood D.,661
12142543700,Fullwood D.,689
12142543700,Fullwood D.,742
12142543700,Fullwood D.,750
12142543700,Fullwood D.,876
8715877100,Taheri M.L.,42
57209474608,McLeod A.R.,43
57209474608,McLeod A.R.,204
12445208100,Bruening D.,43
12445208100,Bruening D.,204
12445208100,Bruening D.,507
35868117400,Johnson A.W.,43
35868117400,Johnson A.W.,204
57209473859,Ward J.,43
35867849600,Hunter I.,43
35867849600,Hunter I.,204
8929123100,Camacho R.M.,44
8929123100,Camacho R.M.,205
8929123100,Camacho R.M.,423
8929123100,Camacho R.M.,558
57215607275,Fish D.,44
57215609504,Simmons M.,44
57200118993,Awerkamp P.,44
57200118993,Awerkamp P.,436
57200118993,Awerkamp P.,568
57215613881,Anderson R.,44
57215598228,Carlson S.,44
57211987837,Laney J.,44
57211987837,Laney J.,301
57209538650,Viglione M.,44
57209538650,Viglione M.,332
7005636820,Nordin G.P.,44
7005636820,Nordin G.P.,58
7005636820,Nordin G.P.,289
7005636820,Nordin G.P.,330
7005636820,Nordin G.P.,332
7005636820,Nordin G.P.,474
7005636820,Nordin G.P.,480
7005636820,Nordin G.P.,533
7005636820,Nordin G.P.,555
7005636820,Nordin G.P.,688
57202910818,Knighton B.E.,45
57202910818,Knighton B.E.,168
